Day,Avg_Tx_fee_ETH,Total_ETH,active_users,new_users,returning_users,tx_count
2026-01-23,0.0000487643824300,1597433.691,1097757,364607,733150,2531327
2026-01-24,0.0000411854057551,503771.8502,845686,348915,496771,2268230
2026-01-25,0.0000603879195737,1202171.689,680930,281305,399625,2181909
2026-01-26,0.0000648130729911,2490690.171,759895,310488,449407,2362952
2026-01-27,0.0000450932296998,1634488.261,870830,332472,538358,2558259
2026-01-28,0.0000472807999234,1789345.137,1107663,354414,753249,2726585
2026-01-29,0.0001024387985414,1731549.971,1154515,307123,847392,2625095
2026-01-30,0.0001392035138239,2185159.852,862672,380615,482057,2290086
2026-01-31,0.0003417329018642,2419794.26,732345,362037,370308,2047319
2026-02-01,0.0001122541343303,2291671.643,1193738,403405,790333,2538407
2026-02-02,0.0001669704880657,3836035.81,833973,359504,474469,2308687
2026-02-03,0.0001457257414517,3922218.736,1040600,406330,634270,2563472
2026-02-04,0.0001499249425691,3453992.871,854683,390655,464028,2489539
2026-02-05,0.0007301974045221,4510921.057,768561,284018,484543,2263196
2026-02-06,0.0002927452921373,5211709.149,882873,296534,586339,2418421
2026-02-07,0.0001019744562129,2146989.263,1173193,303965,869228,2896853
2026-02-08,0.0000630074074546,1173463.998,871424,282721,588703,2317029
2026-02-09,0.0000658878832291,2511542.778,886623,304203,582420,2709180
2026-02-10,0.0000519676687095,2671247.206,895193,320565,574628,2843652
2026-02-11,0.0001402160027049,1820175.261,776144,271049,505095,2466399
2026-02-12,0.0000960810777929,2079583.1,779718,277142,502576,2190099
2026-02-13,0.0000668974735728,2383646.479,780432,320599,459833,2275538
2026-02-14,0.0000525132521839,783023.4369,661074,247189,413885,1932723
2026-02-15,0.0000832603840084,2009623.875,549030,216600,332430,1747152
2026-02-16,0.0000656024936933,1179692.284,671178,246188,424990,2005852
2026-02-17,0.0000854174769177,1970213.186,637958,262554,375404,1957905
2026-02-18,0.0000793580453295,1638089.628,648017,267447,380570,1996006
2026-02-19,0.0000733183091917,1612631.877,644739,262543,382196,2010885
2026-02-20,0.0000865802949133,2063732.265,586336,249949,336387,1869746
2026-02-21,0.0000585383791854,609296.3104,558763,255740,303023,1686661
2026-02-22,0.0000533402136828,636816.1474,549323,225302,324021,1728437
2026-02-23,0.0000768531434498,2129506.665,704610,257590,447020,2027183
2026-02-24,0.0000828620559268,2156454.997,654972,282776,372196,2068318
2026-02-25,0.0001057700402984,2701589.351,996924,244435,752489,2363418
2026-02-26,0.0000906253682636,2297882.284,714917,288849,426068,2137694
2026-02-27,0.0000850627981189,1709491.74,655381,255245,400136,2051384
2026-02-28,0.0000911536973571,1128513.214,691784,244190,447594,2026162
2026-03-01,0.0000942341498604,1080225.66,590211,242765,347446,1883259
2026-03-02,0.0000994522196126,2268051.166,821293,258717,562576,2201428
2026-03-03,0.0001104512339259,1800214.569,678269,271172,407097,2044346
2026-03-04,0.0001480568532860,2581009.226,683716,263604,420112,2026089
2026-03-05,0.0000831413836121,2116500.863,770223,287589,482634,2182628
2026-03-06,0.0000771727611106,2088660.529,793029,267943,525086,2134644
2026-03-07,0.0000479367677876,795119.1016,621942,244684,377258,1913802
2026-03-08,0.0000631742357238,972953.9441,520821,199959,320862,1724478
2026-03-09,0.0000736880716363,1800614.958,697641,268857,428784,2131079
2026-03-10,0.0000703998151661,1968762.681,790603,328751,461852,2257070
2026-03-11,0.0000701975462471,1955502.236,752740,338130,414610,2149499
2026-03-12,0.0001083100801758,1750676.816,834421,288213,546208,2210735
2026-03-13,0.0000929087708010,1953160.795,719506,247121,472385,2179905
2026-03-14,0.0000419415652342,635657.7255,783867,204923,578944,2027263
2026-03-15,0.0000549517768948,640019.1266,564479,227805,336674,1777105
2026-03-16,0.0000883593327858,2163673.12,642053,236624,405429,2158939
2026-03-17,0.0000544050675444,1889518.722,684726,238549,446177,2434980
2026-03-18,0.0000543899003676,2288200.33,871747,217753,653994,2610981
2026-03-19,0.0000554421191835,1770578.744,1001672,217075,784597,2648418
2026-03-20,0.0000516510866271,1729166.25,649832,255037,394795,2417921
2026-03-21,0.0000320321473704,432333.0277,556395,191952,364443,2144976
2026-03-22,0.0001866188957008,2454442.132,479206,168949,310257,1852313
2026-03-23,0.0000898659029067,1728675.35,638055,189023,449032,2495605
2026-03-24,0.0000526005498784,1700158.55,672115,213118,458997,2563255
2026-03-25,0.0000584245147949,1565335.218,596537,203431,393106,2061186
2026-03-26,0.0000778705876716,2205537.431,643794,195355,448439,2449787
2026-03-27,0.0000689097365520,2538722.646,547650,169913,377737,2661907
2026-03-28,0.0000409312856547,566269.1356,501464,169690,331774,2494325
2026-03-29,0.0000636704205761,538367.0103,430668,146127,284541,1806814
2026-03-30,0.0000601085510471,1957123.796,616284,211483,404801,2275599
2026-03-31,0.0000723266866709,1960734.66,771537,225988,545549,2622649
2026-04-01,0.0000742886839930,1834621.172,687002,203232,483770,2363070
2026-04-02,0.0000649779281455,1490802.928,652037,202455,449582,2428667
2026-04-03,0.0000487169075367,747060.5483,564674,181270,383404,2302049
2026-04-04,0.0000369109572923,435257.2167,446238,163357,282881,2076522
2026-04-05,0.0000455345892965,487994.0137,451498,150555,300943,2032528
2026-04-06,0.0000517512683051,1523257.82,693090,222876,470214,2435658
2026-04-07,0.0000810956119070,1628613.477,750379,214920,535459,2566181
2026-04-08,0.0000595110067495,1705591.665,679912,241050,438862,2423150
2026-04-09,0.0000466960048085,1369141.348,572015,212434,359581,2370057
2026-04-10,0.0000503621117006,1946248.565,636914,235834,401080,2415730
2026-04-11,0.0000292218034234,583312.5803,583280,195776,387504,2864662
2026-04-12,0.0000295406532874,642897.1334,504006,144711,359295,3617817
2026-04-13,0.0000661324180268,1839951.062,721570,195736,525834,2526748
2026-04-14,0.0000546386894257,1512840.644,820236,223064,597172,2839336
2026-04-15,0.0000561130476992,1608079.065,608474,169041,439433,2504075
2026-04-16,0.0000878818582168,1343321.413,500710,166097,334613,1872611
2026-04-17,0.0002291980914171,1748960.687,522924,167003,355921,1888757
2026-04-18,0.0002343805293642,908803.6057,470195,155983,314212,2129969
2026-04-19,0.0003653799636079,1165447.308,382290,122297,259993,1736671
2026-04-20,0.0004041774295694,2010819.039,471410,156321,315089,1847934
2026-04-21,0.0002201661405826,2015643.417,545677,177760,367917,1932624
2026-04-22,0.0005920732371428,1912586.316,461538,137686,323852,1952492
2026-04-23,0.0003721093100582,1681792.864,495334,151641,343693,1933746
2026-04-24,0.0002902434883773,2033147.026,583910,141666,442244,2035895
2026-04-25,0.0001690075891052,524757.9676,771312,228674,542638,2114944
2026-04-26,0.0002596702893074,618515.4706,590334,154141,436193,2387950
2026-04-27,0.0002462452385728,2014747.681,471406,130539,340867,3161280
2026-04-28,0.0001550035885366,1480597.427,428081,126796,301285,3627491
2026-04-29,0.0001586560052240,1939729.73,429820,119957,309863,3241629
2026-04-30,0.0001465965937852,1653768.752,514122,177851,336271,3197359
2026-05-01,0.0001033645272403,1526195.615,508965,158180,350785,2896417
2026-05-02,0.0000618161139559,453325.8781,380844,107385,273459,3170691
2026-05-03,0.0000838932273989,545363.8173,393221,111818,281403,2480596
2026-05-04,0.0001697666413847,1763486.817,479619,142148,337471,2138093
2026-05-05,0.0001011536551651,1586672.723,617277,216224,401053,2001403
2026-05-06,0.0001626285356689,2061236.304,634169,234474,399695,2018650
2026-05-07,0.0002180908060667,1855809.692,562918,171597,391321,1950229
2026-05-08,0.0003094565960613,1787641.925,467921,141220,326701,1822874
2026-05-09,0.0001005905984102,1015112.948,560421,198998,361423,1843847
2026-05-10,0.0001512147145444,1584920.509,491713,164197,327516,1782298
2026-05-11,0.0002352041531134,1403592.482,517347,151737,365610,1954445
2026-05-12,0.0001820000654340,1586960.796,584477,190425,394052,1966401
2026-05-13,0.0001046958336798,1769370.847,669505,248064,421441,2313802
2026-05-14,0.0001262577539938,1507129.681,514886,133867,381019,1969580
2026-05-15,0.0002435730320947,1900931.963,530816,170033,360783,1788096
2026-05-16,0.0000972859263622,824147.7057,518544,173438,345106,1972251
2026-05-17,0.0000710435895260,611310.6909,461279,139974,321305,1960969
2026-05-18,0.0001139638684546,1840464.425,545054,177952,367102,1824281
2026-05-19,0.0000770564235415,1479615.009,536503,174144,362359,1932741
2026-05-20,0.0001328113466850,1210855.698,513461,153436,360025,2086396
2026-05-21,0.0000649263141860,1218459.62,495703,141970,353733,2320690
2026-05-22,0.0000679780840130,1441915.52,511789,149467,362322,2311203
2026-05-23,0.0000469641409987,1415722.515,410701,112175,298526,2328963